EMP_ID|LAST_NAME|FIRST_NAME|TIME-IN|TIME-OUT|DATE_ATTENDED
10001|Garcia|Manuel III|08:00|17:00|01/03/2022
10002|Lim|Antonio|08:00|17:00|01/03/2022
10003|Aquino|Bianca Sofia|08:00|17:00|01/03/2022
10004|Reyes|Isabella|08:00|17:00|01/03/2022
10005|Hernandez|Eduard|08:00|17:00|01/03/2022
10006|Villanueva|Andrea Mae|08:00|17:00|01/03/2022
10007|San Jose|Brad|08:00|17:00|01/03/2022
10008|Romualdez|Alice|08:00|17:00|01/03/2022
10009|Atienza|Rosie|08:00|17:00|01/03/2022
10010|Alvaro|Roderick|08:00|17:00|01/03/2022
10011|Salcedo|Anthony|08:00|17:00|01/03/2022
10012|Lopez|Josie|08:00|17:00|01/03/2022
10013|Farala|Martha|08:00|17:00|01/03/2022
10014|Martinez|Leila|08:00|17:00|01/03/2022
10015|Romualdez|Fredrick|08:00|17:00|01/03/2022
10016|Mata|Christian|08:00|17:00|01/03/2022
10017|De Leon|Selena|08:00|17:00|01/03/2022
10018|San Jose|Allison|08:00|17:00|01/03/2022
10019|Rosario|Cydney|08:00|17:00|01/03/2022
10020|Bautista|Mark|08:00|17:00|01/03/2022
10021|Lazaro|Darlene|08:00|17:00|01/03/2022
10022|Delos Santos|Kolby|08:00|17:00|01/03/2022
10023|Santos|Vella|08:00|17:00|01/03/2022
10024|Del Rosario|Tomas|08:00|17:00|01/03/2022
10025|Tolentino|Jacklyn|08:00|17:00|01/03/2022
10026|Gutierrez|Percival|08:00|17:00|01/03/2022
10027|Manalaysay|Garfield|08:00|17:00|01/03/2022
10028|Villegas|Lizeth|08:00|17:00|01/03/2022
10029|Ramos|Carol|08:00|17:00|01/03/2022
10030|Maceda|Emelia|08:00|17:00|01/03/2022
10031|Aguilar|Delia|08:00|17:00|01/03/2022
10032|Castro|John Rafael|08:00|17:00|01/03/2022
10033|Martinez|Carlos Ian|08:00|17:00|01/03/2022
10034|Santos|Beatriz|08:00|17:00|01/03/2022
10001|Garcia|Manuel III|08:00|17:00|01/04/2022
10002|Lim|Antonio|08:00|17:00|01/04/2022
10003|Aquino|Bianca Sofia|08:00|17:00|01/04/2022
10004|Reyes|Isabella|08:00|17:00|01/04/2022
10005|Hernandez|Eduard|08:00|17:00|01/04/2022
10006|Villanueva|Andrea Mae|08:00|17:00|01/04/2022
10007|San Jose|Brad|08:00|17:00|01/04/2022
10008|Romualdez|Alice|08:00|17:00|01/04/2022
10009|Atienza|Rosie|08:00|17:00|01/04/2022
10010|Alvaro|Roderick|08:00|17:00|01/04/2022
10011|Salcedo|Anthony|08:00|17:00|01/04/2022
10012|Lopez|Josie|08:00|17:00|01/04/2022
10013|Farala|Martha|08:00|17:00|01/04/2022
10014|Martinez|Leila|08:00|17:00|01/04/2022
10015|Romualdez|Fredrick|08:00|17:00|01/04/2022
10016|Mata|Christian|08:00|17:00|01/04/2022
10017|De Leon|Selena|08:00|17:00|01/04/2022
10018|San Jose|Allison|08:00|17:00|01/04/2022
10019|Rosario|Cydney|08:00|17:00|01/04/2022
10020|Bautista|Mark|08:00|17:00|01/04/2022
10021|Lazaro|Darlene|08:00|17:00|01/04/2022
