employeeNumber|lastName|firstName|birthday|address|phoneNumber|sssNumber|philhealthNumber|tinNumber|pagibigNumber|status|position|immediateSupervisor|basicSalary|riceSubsidy|phoneAllowance|clothingAllowance|grossSemiMonthlyRate|hourlyRate|SSS Contribution|PhilHealth Contribution|Pag-ibig Contribution
10001|Garcia|Manuel III|10/11/1983|Valero Carpark Building Valero Street 1227, Makati City|966-860-270|44-4506057-3|820126853951|442-605-657-000|691295330870|Regular|Chief Executive Officer|N/A|90000|1500|2000|1000|45000|535.72|1350|4500|200
10002|Lim|Antonio|06/19/1988|San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite|171-867-411|52-2061274-9|331735646338|683-102-776-000|663904995411|Regular|Chief Operating Officer|Garcia, Manuel III|60000|1500|2000|1000|30000|357.15|1350|3000|200
10003|Aquino|Bianca Sofia|08/04/1989|Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City|966-889-370|30-8870406-2|177451189665|971-711-280-000|171519773969|Regular|Chief Finance Officer|Garcia, Manuel III|60000|1500|2000|1000|30000|357.15|1350|3000|200
10004|Reyes|Isabella|06/16/1994|460 Solanda Street Intramuros 1000, Manila|786-868-477|40-2511815-0|341911411254|876-809-437-000|416946776041|Regular|Chief Marketing Officer|Garcia, Manuel III|60000|1500|2000|1000|30000|357.15|1350|3000|200
10005|Hernandez|Eduard|09/23/1989|National Highway, Gingoog, Misamis Occidental|088-861-012|50-5577638-1|957436191812|031-702-374-000|952347222457|Regular|IT Operations and Systems|Lim, Antonio|52670|1500|1000|1000|26335|313.52|1350|2633.50|200
10006|Villanueva|Andrea Mae|02/14/1988|17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands |918-621-603|49-1632020-8|382189453145|317-674-022-000|441093369646|Regular|HR Manager|Lim, Antonio|52670|1500|1000|1000|26335|313.52|1350|2633.50|200
10007|San Jose|Brad |03/15/1996|99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi|797-009-261|40-2400714-1|239192926939|672-474-690-000|210850209964|Regular|HR Team Leader|Villanueva, Andrea Mae|42975|1500|800|800|21487.5|255.81|1350|2148.75|200
10008|Romualdez|Alice|05/14/1992|12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte |983-606-799|55-4476527-2|545652640232|888-572-294-000|211385556888|Regular|HR Rank and File|San, Jose Brad|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10009|Atienza|Rosie |09/24/1948|90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte|266-036-427|41-0644692-3|708988234853|604-997-793-000|260107732354|Regular|HR Rank and File|San, Jose Brad|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10010|Alvaro|Roderick|03/30/1988|#284 T. Morato corner, Scout Rallos Street, Quezon City|053-381-386|64-7605054-4|578114853194|525-420-419-000|799254095212|Regular|Accounting Head|Aquino, Bianca Sofia |52670|1500|1000|1000|26335|313.52|1350|2633.50|200
10011|Salcedo|Anthony|09/14/1993|93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate|070-766-300|26-9647608-3|126445315651|210-805-911-000|218002473454|Regular|Payroll Manager|Alvaro, Roderick|50825|1500|1000|1000|25412.5|302.53|1350|2541.25|200
10012|Lopez|Josie |01/14/1987|49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro|478-355-427|44-8563448-3|431709011012|218-489-737-000|113071293354|Regular|Payroll Team Leader|Salcedo, Anthony|38475|1500|800|800|19237.5|229.02|1350|1923.75|200
10013|Farala|Martha|01/11/1942|42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte |329-034-366|45-5656375-0|233693897247|210-835-851-000|631130283546|Regular|Payroll Rank and File|Salcedo, Anthony|24000|1500|500|500|12000|142.86|1080|1200|200
10014|Martinez|Leila|07/11/1970|37/46 Kulas Roads, Maragondon 0962 Quirino |877-110-749|27-2090996-4|515741057496|275-792-513-000|101205445886|Regular|Payroll Rank and File|Salcedo, Anthony|24000|1500|500|500|12000|142.86|1080|1200|200
10015|Romualdez|Fredrick |03/10/1985|22A/52 Lubowitz Meadows, Pililla 4895 Zambales|023-079-009|26-8768374-1|308366860059|598-065-761-000|223057707853|Regular|Account Manager|Lim, Antonio|53500|1500|1000|1000|26750|318.46|1350|2675.00|200
10016|Mata|Christian|03/10/1985|90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu |783-776-744|49-2959312-6|824187961962|103-100-522-000|631052853464|Regular|Account Team Leader|Romualdez, Fredrick |42975|1500|800|800|21487.5|255.81|1350|2148.75|200
10017|De Leon|Selena |10/21/1987|89A Armstrong Trace, Compostela 7874 Maguindanao|975-432-139|27-2090208-8|587272469938|482-259-498-000|719007608464|Regular|Account Team Leader|Romualdez, Fredrick |41850|1500|800|800|20925|249.11|1350|2092.50|200
10018|San Jose|Allison |02/20/1975|08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union|179-075-129|45-3251383-0|745148459521|121-203-336-000|114901859343|Regular|Account Rank and File|Mata, Christian|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10019|Rosario|Cydney |06/24/1986|93A/21 Berge Points, Tapaz 2180 Quezon|868-819-912|49-1629900-2|579253435499|122-244-511-000|265104358643|Regular|Account Rank and File|Mata, Christian|22500|1500|500|500|11250|133.93|1012.50|1125.00|200
10020|Bautista|Mark |10/06/1996|65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino|683-725-348|49-1647342-5|399665157135|273-970-941-000|260054585575|Regular|Account Rank and File|Mata, Christian|23250|1500|500|500|11625|138.4|1057.50|1162.50|200
10021|Lazaro|Darlene |02/12/1991|47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino|740-721-558|45-5617168-2|606386917510|354-650-951-000|104907708845|Probationary|Account Rank and File|Mata, Christian|23250|1500|500|500|11625|138.4|1057.50|1162.50|200
